Numero_PDL;Numero_facture;Segment;Formule_tarifaire_acheminement;Puissance_souscrite;Date_facture;Date_debut_periode;Date_fin_periode;Duree_periode_consommation;Nom_fournisseur;Client_final;Tarif_acheminement;Tarif_taxes_contributions_locales;Tarif_fourniture;Total_TTC;Total_TVA;Total_HTVA;Consommation_BASE;Consommation_HP;Consommation_HC;Consommation_POINTE;Consommation_HPH;Consommation_HCH;Consommation_HPB;Consommation_HCB;Consommation_totale;Depassement;Depassement_puissance_souscrite;Prestations_GRD;Frais_remises_supplementaires
PDL_2;Facture 1;C2;HTALU5;36.0 kW;2025-02-27;2025-01-01;2025-02-01;31;Volterres;SPL LES EAUX DU SAGE;508.29;208.36;691.5;1689.78;281.63;1408.15;0.0;0.0;0.0;1289.0;3397.0;1910.0;0.0;0.0;6596.0;0.0;0.0;0.0;0.0
PDL_2;Facture 2;C2;HTALU5;760.0 kW;2025-02-27;2025-01-01;2025-02-01;31;Volterres;SPL LES EAUX DU SAGE;8227.78;4290.86;16814.57;35199.85;5866.64;29333.21;0.0;0.0;0.0;29663.0;81842.0;51231.0;0.0;0.0;162736.0;0.0;0.0;0.0;0.0
PDL_2;Facture 3;C2;HTACU5;180.0 kW;2025-02-27;2025-01-01;2025-02-01;31;Volterres;SPL LES EAUX DU SAGE;1812.06;717.75;2859.69;6467.4;1077.9;5389.5;0.0;0.0;0.0;4326.0;12752.0;12123.0;0.0;0.0;29201.0;0.0;0.0;0.0;0.0
PDL_2;Facture 4;C2;HTACU5;252.0 kW;2025-02-27;2025-01-01;2025-02-01;31;Volterres;SPL LES EAUX DU SAGE;3418.61;1341.93;5729.23;12587.72;2097.95;10489.77;0.0;0.0;0.0;8795.0;26297.0;22804.0;0.0;0.0;57896.0;3.15;0.24;0.0;0.0
PDL_2;Facture 5;C4;BTSUPCU4;84.0 kVA;2025-02-27;2025-01-01;2025-02-01;31;Volterres;SPL LES EAUX DU SAGE;601.81;175.64;484.14;1513.91;252.32;1261.59;0.0;0.0;0.0;0.0;3459.0;1665.0;0.0;0.0;5124.0;0.0;0.0;0.0;0.0
PDL_2;Facture 6;C2;HTALU5;741.0 kW;2025-02-27;2025-01-01;2025-02-01;31;Volterres;SPL LES EAUX DU SAGE;9119.01;5609.04;22662.02;44868.08;7478.01;37390.07;0.0;0.0;0.0;34188.0;106396.0;87623.0;0.0;0.0;228207.0;0.0;0.0;0.0;0.0
PDL_14;Facture 7;C4;BTSUPLU4;144.0 kVA;2025-02-27;2025-01-01;2025-01-09;8;Volterres;SPL LES EAUX DU SAGE;855.66;278.31;827.35;2353.58;392.26;1961.3200000000002;0.0;0.0;0.0;1184.0;4758.0;2796.0;0.0;0.0;8738.0;0.0;0.0;0.0;0.0
PDL_14;Facture 8;C4;BTSUPCU4;60.0 kVA;2025-02-27;2025-01-01;2025-01-09;8;Volterres;SPL LES EAUX DU SAGE;383.03;119.8;399.6;1082.92;180.49;902.4300000000001;0.0;0.0;0.0;0.0;2882.0;1331.0;0.0;0.0;4213.0;0.0;0.0;0.0;0.0
PDL_14;Facture 9;C4;BTSUPCU4;66.0 kVA;2025-02-27;2025-01-01;2025-01-09;8;Volterres;SPL LES EAUX DU SAGE;380.79;117.44;377.64;1051.04;175.17;875.87;0.0;0.0;0.0;0.0;2711.0;1278.0;0.0;0.0;3989.0;0.0;0.0;0.0;0.0
PDL_14;Facture 10;C4;BTSUPCU4;144.0 kVA;2025-02-27;2025-01-01;2025-01-09;8;Volterres;SPL LES EAUX DU SAGE;779.51;246.0;837.35;2235.43;372.57;1862.8600000000001;0.0;0.0;0.0;0.0;6035.0;2796.0;0.0;0.0;8831.0;0.0;0.0;0.0;0.0
PDL_14;Facture 11;C4;BTSUPCU4;66.0 kVA;2025-02-27;2025-01-01;2025-01-09;8;Volterres;SPL LES EAUX DU SAGE;260.69;72.39;169.79;603.44;100.57;502.87;0.0;0.0;0.0;0.0;1223.0;568.0;0.0;0.0;1791.0;0.0;0.0;0.0;0.0
PDL_14;Facture 12;C2;HTALU5;570.0 kW;2025-02-27;2025-01-01;2025-02-01;31;Volterres;SPL LES EAUX DU SAGE;4708.16;2023.18;6256.14;15584.98;2597.5;12987.48;0.0;0.0;0.0;9335.0;28904.0;25165.0;0.0;0.0;63404.0;0.0;0.0;0.0;0.0
PDL_15;Facture 13;C4;BTSUPCU4;54.0 kVA;2025-02-27;2025-01-01;2025-01-09;8;Volterres;SPL LES EAUX DU SAGE;143.18;31.56;1.8;211.85;35.31;176.54000000000002;0.0;0.0;0.0;0.0;13.0;6.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0
PDL_15;Facture 14;C2;HTALU5;290.0 kW;2025-02-27;2025-01-01;2025-02-01;31;Volterres;SPL LES EAUX DU SAGE;2649.53;1120.99;3311.81;8498.8;1416.47;7082.33;0.0;0.0;0.0;4088.0;16150.0;13753.0;0.0;0.0;33991.0;0.0;0.0;0.0;0.0
PDL_15;Facture 15;C4;BTSUPLU4;144.0 kVA;2025-02-27;2025-01-09;2025-02-09;31;Volterres;SPL LES EAUX DU SAGE;2059.36;863.17;3320.25;7491.34;1248.56;6242.780000000001;0.0;0.0;0.0;5199.0;18270.0;11821.0;0.0;0.0;35290.0;0.0;0.0;0.0;0.0
PDL_15;Facture 16;C4;BTSUPCU4;66.0 kVA;2025-02-27;2025-01-09;2025-02-09;31;Volterres;SPL LES EAUX DU SAGE;1046.8;387.05;1530.45;3557.16;592.86;2964.3;0.0;0.0;0.0;0.0;10957.0;5227.0;0.0;0.0;16184.0;0.0;0.0;0.0;0.0
PDL_15;Facture 17;C4;BTSUPCU4;54.0 kVA;2025-02-27;2025-01-09;2025-02-09;31;Volterres;SPL LES EAUX DU SAGE;130.3;29.25;6.6;199.38;33.23;166.15;0.0;0.0;0.0;0.0;47.0;23.0;0.0;0.0;70.0;0.0;0.0;0.0;0.0
PDL_15;Facture 18;C4;BTSUPCU4;66.0 kVA;2025-02-27;2025-01-09;2025-02-09;31;Volterres;SPL LES EAUX DU SAGE;658.3;234.1;871.09;2116.19;352.7;1763.49;0.0;0.0;0.0;0.0;6227.0;2990.0;0.0;0.0;9217.0;0.0;0.0;0.0;0.0
PDL_13;Facture 19;C4;BTSUPCU4;60.0 kVA;2025-02-27;2025-01-09;2025-02-09;31;Volterres;SPL LES EAUX DU SAGE;1097.54;404.0;1612.01;3736.26;622.71;3113.55;0.0;0.0;0.0;0.0;11537.0;5512.0;0.0;0.0;17049.0;11.75;1.0;0.0;0.0
PDL_13;Facture 20;C4;BTSUPCU4;144.0 kVA;2025-02-27;2025-01-09;2025-02-09;31;Volterres;SPL LES EAUX DU SAGE;2043.79;757.51;3023.68;6989.98;1165.0;5824.98;0.0;0.0;0.0;0.0;21827.0;10041.0;0.0;0.0;31868.0;0.0;0.0;0.0;0.0
PDL_13;Facture 21;C2;HTALU5;741.0 kW;2025-04-11;2025-02-01;2025-03-01;28;Volterres;SPL LES EAUX DU SAGE;7091.92;5440.62;21807.69;41208.28;6868.05;34340.229999999996;0.0;0.0;0.0;32182.0;99641.0;90279.0;0.0;0.0;222102.0;0.0;0.0;0.0;0.0
